Entity,bins
-LSB- -RSB- China,Bin 1 (Highest)
-LSB- -RSB- This kind of discarded electronic trash,Bin 1 (Highest)
1983 Contest,Bin 3
A European diplomatic source,Bin 2
A Google departure,Bin 2
A Nomad of the Time Streams,Bin 1 (Highest)
A Philippine politician whose family was allegedly murdered to stop him running for governor,Bin 1 (Highest)
A Russian diver,Bin 3
A big attraction on the Thames,Bin 2
A car,Bin 4 (Lowest)
A conversion rate,Bin 3
A couple months,Bin 3
A court in Morocco on Monday,Bin 1 (Highest)
A culture,Bin 4 (Lowest)
A department spokesman,Bin 3
A faction from within the disbanded NLD,Bin 1 (Highest)
A fifth strikeout,Bin 3
A fifth synagogue,Bin 2
A friend,Bin 4 (Lowest)
A gigantic robot,Bin 3
A group of Coptic youth,Bin 2
A helicopter dispatched by China's transport ministry,Bin 1 (Highest)
A lackluster All-Star game for Pujols,Bin 1 (Highest)
A modern dial tone,Bin 2
A perfectionism,Bin 3
A political party registered to run in Myanmar's elections this year,Bin 1 (Highest)
A prosecutor,Bin 4 (Lowest)
A second Jordanian official,Bin 2
A six-month-old girl,Bin 3
A sixth person,Bin 3
"A spokesman for Gulf Canada, which is controlled by Toronto's Reichmann family",Bin 1 (Highest)
A team of US Air Force experts,Bin 2
A top Iranian reformist from a banned political party,Bin 1 (Highest)
A year,Bin 4 (Lowest)
AARP Insurance Plan American Association,Bin 1 (Highest)
ABC Family,Bin 4 (Lowest)
ABC's John Martin,Bin 1 (Highest)
ACC referee Ron Cherry,Bin 1 (Highest)
ACT headquarters,Bin 2
ARM architecture and List of ARM microprocessor cores,Bin 1 (Highest)
Aba Lujayn,Bin 1 (Highest)
Abba-Zabas,Bin 1 (Highest)
Abraham,Bin 4 (Lowest)
Aceh governor Irwandi Yusuf,Bin 1 (Highest)
Additional Resources The wikipedia,Bin 1 (Highest)
Aden,Bin 4 (Lowest)
Adkins,Bin 2
Administration officials,Bin 3
Aerosmith,Bin 3
Aetna,Bin 2
Afghanistan,Bin 4 (Lowest)
Aftershock,Bin 2
Agatharchides,Bin 2
Ahmadinejad,Bin 2
Ahmose-Henuttamehu's mummy,Bin 1 (Highest)
Aizutakada,Bin 2
Al Gore,Bin 3
Al-Dhahabi in his Talkhis al-Mustadrak,Bin 1 (Highest)
Alan Bean,Bin 2
Alan Cohn and Bobcat Goldthwait (the latter previously worked with Brown in Medusa: Dare to Be Truthful and Shakes the Clown),Bin 1 (Highest)
Alang,Bin 3
Albany County Republican Chairman Joseph C. Frangella,Bin 1 (Highest)
Albert Finney in Sidney Lumet's crime drama,Bin 1 (Highest)
Alberta Party supporters,Bin 2
"Aleksandr M. Prokhorov Shared the Nobel Prize in Physics in 1964 for, respectively, semiconductor lasers and",Bin 1 (Highest)
Alex Webster,Bin 2
Alex Wharf,Bin 2
Algeria,Bin 4 (Lowest)
Ali Duba,Bin 2
Ali Hewson,Bin 1 (Highest)
All of their friends,Bin 2
All the players,Bin 3
All three men,Bin 3
"Amblypygids, particularly the species Phrynus marginemaculatus and Damon diadema",Bin 1 (Highest)
American,Bin 4 (Lowest)
American Gangster,Bin 3
"American Sign Language, or ASL, for a time",Bin 1 (Highest)
American Telephone & Telegraph Co.,Bin 2
American Wrestling Association,Bin 3
American aid efforts,Bin 3
American historian,Bin 3
An AT & T representative,Bin 2
An Italian foreign ministry official,Bin 2
An Itinerary,Bin 1 (Highest)
An older brother and sister,Bin 2
An operation,Bin 3
Analysts,Bin 4 (Lowest)
Anapa,Bin 3
Anatolia,Bin 4 (Lowest)
"Anchorage, Alaska",Bin 4 (Lowest)
Ancient Egypt,Bin 4 (Lowest)
Andrew,Bin 4 (Lowest)
Angelica Balabanov,Bin 2
Angels Fall First,Bin 2
Angola,Bin 4 (Lowest)
Annaghmore,Bin 2
Anne-Marie Mediwake,Bin 1 (Highest)
Annette Lu,Bin 2
Anniversary events,Bin 3
Antoninus Pius,Bin 2
"Antonio Novello, whom Mr. Bush nominated to serve as surgeon general",Bin 1 (Highest)
Antwerpen,Bin 3
Apptix,Bin 2
April,Bin 4 (Lowest)
Aqeel,Bin 2
Aquino,Bin 4 (Lowest)
Arab and Persian,Bin 2
Archibald,Bin 3
Archie Comics' characters,Bin 2
Arechis I of Benevento,Bin 1 (Highest)
Argentine authorities in Comodoro Rivadavia,Bin 1 (Highest)
Armor for Sleep,Bin 2
Arthurian Legend,Bin 3
Arua town,Bin 2
Ascot Park railway station,Bin 2
Ashfield,Bin 3
Ashley Judd,Bin 3
Asia,Bin 4 (Lowest)
Asian Football Confederation (AFC) President,Bin 3
Assistant Secretary David Mullins,Bin 1 (Highest)
Athens,Bin 4 (Lowest)
Atkinson,Bin 3
Atlantic salmon,Bin 3
Australia,Bin 4 (Lowest)
Australia's Asian policy structure,Bin 2
Australian and New Zealander soldiers,Bin 1 (Highest)
Australian dollar,Bin 4 (Lowest)
Australian football,Bin 3
