Entity,average_probability,bins
it,0.829024612903595,Bin 4 (Highest)
years,0.8026367574930191,Bin 4 (Highest)
episodes,0.7692741364240646,Bin 4 (Highest)
President,0.7265768319368362,Bin 4 (Highest)
them,0.7150845177471638,Bin 4 (Highest)
Islam,0.7090242799371481,Bin 4 (Highest)
minutes,0.6952541790902614,Bin 4 (Highest)
students,0.6893566697835922,Bin 4 (Highest)
evidence,0.6736216102726758,Bin 4 (Highest)
BC,0.657936891540885,Bin 4 (Highest)
police,0.6478496879339218,Bin 4 (Highest)
Egypt,0.6468674190808088,Bin 4 (Highest)
Wind,0.6416325211059302,Bin 4 (Highest)
pay,0.6255578624317423,Bin 4 (Highest)
you,0.6126489059766754,Bin 4 (Highest)
the door,0.6080782269626201,Bin 4 (Highest)
efforts,0.6041532346047461,Bin 4 (Highest)
we,0.5932264258153737,Bin 4 (Highest)
They,0.5808211702853441,Bin 4 (Highest)
NASA,0.5692255350695631,Bin 4 (Highest)
hold,0.5629801481845789,Bin 4 (Highest)
corruption,0.559320087870583,Bin 4 (Highest)
I,0.5582225208939235,Bin 4 (Highest)
the sport,0.540562997154146,Bin 4 (Highest)
training,0.531916250474751,Bin 4 (Highest)
ways,0.5240778284147382,Bin 4 (Highest)
paper,0.5208470066078007,Bin 4 (Highest)
anyone,0.5208449513069354,Bin 4 (Highest)
The song,0.5183463485637206,Bin 4 (Highest)
snow,0.515673590824008,Bin 4 (Highest)
women,0.5083237568847835,Bin 4 (Highest)
way,0.4883937044534832,Bin 4 (Highest)
farmers,0.4877939719706773,Bin 4 (Highest)
talks,0.4875902930274606,Bin 4 (Highest)
they,0.4763413745909929,Bin 4 (Highest)
love,0.4748824747744947,Bin 4 (Highest)
Andrew,0.4721411544102011,Bin 4 (Highest)
attack,0.4719318274932448,Bin 4 (Highest)
The ship,0.4699743211330153,Bin 4 (Highest)
score,0.4682259081702796,Bin 4 (Highest)
failure,0.4634193007834256,Bin 4 (Highest)
She,0.459567007050282,Bin 4 (Highest)
The story,0.4587715277557176,Bin 4 (Highest)
controversy,0.4536772109568119,Bin 4 (Highest)
critical acclaim,0.4364954651456506,Bin 4 (Highest)
concerns,0.4314886048436165,Bin 4 (Highest)
history,0.4305975139141083,Bin 4 (Highest)
The fire,0.4287037140003852,Bin 4 (Highest)
service,0.4223531221970916,Bin 4 (Highest)
Israel,0.4152587427844992,Bin 4 (Highest)
Michael,0.4146695714443922,Bin 4 (Highest)
scientists,0.4144736710004508,Bin 4 (Highest)
songs,0.4124977197498083,Bin 4 (Highest)
voters,0.408580169826746,Bin 4 (Highest)
drugs,0.4067576564848423,Bin 4 (Highest)
areas,0.4058944385498762,Bin 4 (Highest)
tears,0.4052557943869033,Bin 4 (Highest)
anniversary,0.4034357519354671,Bin 4 (Highest)
traffic,0.4021059219492599,Bin 4 (Highest)
Bridge,0.3998533089470584,Bin 4 (Highest)
contact,0.3986409008859482,Bin 4 (Highest)
his eyes,0.397160422873732,Bin 4 (Highest)
residents,0.3957917429506778,Bin 4 (Highest)
expectations,0.395709802955389,Bin 4 (Highest)
Building,0.3942235320806503,Bin 4 (Highest)
Spain,0.3861048862832831,Bin 4 (Highest)
ships,0.3834455819567665,Bin 4 (Highest)
