Entity,average_probability,bins
You,23430000000,Bin 4 (Highest)
you,23420000000,Bin 4 (Highest)
"You """,23410000000,Bin 4 (Highest)
us,21000000000,Bin 4 (Highest)
it,20990000000,Bin 4 (Highest)
It,20990000000,Bin 4 (Highest)
use,18680000000,Bin 4 (Highest)
contact,18620000000,Bin 4 (Highest)
policy,18220000000,Bin 4 (Highest)
home,17400000000,Bin 4 (Highest)
We,16730000000,Bin 4 (Highest)
we,16650000000,Bin 4 (Highest)
time,16210000000,Bin 4 (Highest)
one,15930000000,Bin 4 (Highest)
I,15130000000,Bin 4 (Highest)
they,14310000000,Bin 4 (Highest)
They,14310000000,Bin 4 (Highest)
support,11870000000,Bin 4 (Highest)
news,11190000000,Bin 4 (Highest)
work,11160000000,Bin 4 (Highest)
them,10430000000,Bin 4 (Highest)
People,10090000000,Bin 4 (Highest)
people,10090000000,Bin 4 (Highest)
years,9950000000,Bin 4 (Highest)
service,9640000000,Bin 4 (Highest)
media,9140000000,Bin 4 (Highest)
part,9010000000,Bin 4 (Highest)
right,8950000000,Bin 4 (Highest)
way,8570000000,Bin 4 (Highest)
videos,8230000000,Bin 4 (Highest)
history,8170000000,Bin 4 (Highest)
me,7650000000,Bin 4 (Highest)
today,7300000000,Bin 4 (Highest)
Today,7300000000,Bin 4 (Highest)
Her,6900000000,Bin 4 (Highest)
her,6900000000,Bin 4 (Highest)
place,6520000000,Bin 4 (Highest)
date,6510000000,Bin 4 (Highest)
results,6470000000,Bin 4 (Highest)
love,6350000000,Bin 4 (Highest)
order,6230000000,Bin 4 (Highest)
He,6050000000,Bin 4 (Highest)
he,6050000000,Bin 4 (Highest)
school,5730000000,Bin 4 (Highest)
women,5430000000,Bin 4 (Highest)
The World,5310000000,Bin 4 (Highest)
the world,5310000000,Bin 4 (Highest)
things,5300000000,Bin 4 (Highest)
she,5290000000,Bin 4 (Highest)
She,5290000000,Bin 4 (Highest)
food,5250000000,Bin 4 (Highest)
Food,5250000000,Bin 4 (Highest)
others,5130000000,Bin 4 (Highest)
office,5050000000,Bin 4 (Highest)
means,4970000000,Bin 4 (Highest)
American,4950000000,Bin 4 (Highest)
original,4800000000,Bin 4 (Highest)
Book,4720000000,Bin 4 (Highest)
sources,4700000000,Bin 4 (Highest)
ways,4690000000,Bin 4 (Highest)
September,4680000000,Bin 4 (Highest)
hours,4610000000,Bin 4 (Highest)
the following,4600000000,Bin 4 (Highest)
power,4580000000,Bin 4 (Highest)
India,4540000000,Bin 4 (Highest)
money,4440000000,Bin 4 (Highest)
music,4220000000,Bin 4 (Highest)
hand,3980000000,Bin 4 (Highest)
Deutsch,3950000000,Bin 4 (Highest)
present,3950000000,Bin 4 (Highest)
systems,3910000000,Bin 4 (Highest)
pay,3900000000,Bin 4 (Highest)
June,3860000000,Bin 4 (Highest)
minutes,3820000000,Bin 4 (Highest)
Everything,3800000000,Bin 4 (Highest)
March,3680000000,Bin 4 (Highest)
training,3660000000,Bin 4 (Highest)
April,3640000000,Bin 4 (Highest)
him,3640000000,Bin 4 (Highest)
course,3630000000,Bin 4 (Highest)
students,3620000000,Bin 4 (Highest)
comment,3530000000,Bin 4 (Highest)
Building,3520000000,Bin 4 (Highest)
the time,3500000000,Bin 4 (Highest)
model,3470000000,Bin 4 (Highest)
north,3420000000,Bin 4 (Highest)
fact,3410000000,Bin 4 (Highest)
companies,3410000000,Bin 4 (Highest)
Canada,3380000000,Bin 4 (Highest)
November,3300000000,Bin 4 (Highest)
addition,3290000000,Bin 4 (Highest)
areas,3250000000,Bin 4 (Highest)
The site,3200000000,Bin 4 (Highest)
print,3190000000,Bin 4 (Highest)
December,3180000000,Bin 4 (Highest)
USA,3120000000,Bin 4 (Highest)
color,3120000000,Bin 4 (Highest)
Reports,3090000000,Bin 4 (Highest)
Production,3080000000,Bin 4 (Highest)
February,3080000000,Bin 4 (Highest)
the end,2920000000,Bin 4 (Highest)
California,2810000000,Bin 4 (Highest)
Straight,2730000000,Bin 4 (Highest)
traffic,2720000000,Bin 4 (Highest)
effect,2660000000,Bin 4 (Highest)
Australia,2650000000,Bin 4 (Highest)
the United States,2640000000,Bin 4 (Highest)
The United States,2640000000,Bin 4 (Highest)
society,2630000000,Bin 4 (Highest)
paper,2620000000,Bin 4 (Highest)
the US,2550000000,Bin 4 (Highest)
countries,2550000000,Bin 4 (Highest)
the U.S.,2550000000,Bin 4 (Highest)
road,2540000000,Bin 4 (Highest)
France,2520000000,Bin 4 (Highest)
director,2470000000,Bin 4 (Highest)
medicine,2470000000,Bin 4 (Highest)
hands,2460000000,Bin 4 (Highest)
anything,2410000000,Bin 4 (Highest)
hold,2410000000,Bin 4 (Highest)
efforts,2370000000,Bin 4 (Highest)
shopping,2350000000,Bin 4 (Highest)
Europe,2350000000,Bin 4 (Highest)
individuals,2330000000,Bin 4 (Highest)
practices,2310000000,Bin 4 (Highest)
the future,2290000000,Bin 4 (Highest)
London,2280000000,Bin 4 (Highest)
Japan,2230000000,Bin 4 (Highest)
anyone,2200000000,Bin 4 (Highest)
land,2190000000,Bin 4 (Highest)
Brown,2190000000,Bin 4 (Highest)
stage,2150000000,Bin 4 (Highest)
United Kingdom,2110000000,Bin 4 (Highest)
itself,2100000000,Bin 4 (Highest)
evidence,2080000000,Bin 4 (Highest)
morning,2050000000,Bin 4 (Highest)
Germany,2040000000,Bin 4 (Highest)
relations,2020000000,Bin 4 (Highest)
China,2020000000,Bin 4 (Highest)
q,2000000000,Bin 4 (Highest)
Michael,2000000000,Bin 4 (Highest)
President,1970000000,Bin 4 (Highest)
president,1970000000,Bin 4 (Highest)
relationships,1920000000,Bin 4 (Highest)
themselves,1920000000,Bin 4 (Highest)
Asia,1900000000,Bin 4 (Highest)
affairs,1890000000,Bin 4 (Highest)
Italy,1870000000,Bin 4 (Highest)
opinion,1840000000,Bin 4 (Highest)
funding,1830000000,Bin 4 (Highest)
Union,1820000000,Bin 4 (Highest)
a Comment,1810000000,Bin 4 (Highest)
equipment,1800000000,Bin 4 (Highest)
today's,1800000000,Bin 4 (Highest)
the process,1780000000,Bin 4 (Highest)
equity,1770000000,Bin 4 (Highest)
score,1720000000,Bin 4 (Highest)
Friday,1720000000,Bin 4 (Highest)
the data,1720000000,Bin 4 (Highest)
calls,1710000000,Bin 4 (Highest)
shares,1700000000,Bin 4 (Highest)
Ireland,1690000000,Bin 4 (Highest)
a result,1680000000,Bin 4 (Highest)
cash,1680000000,Bin 4 (Highest)
Israel,1670000000,Bin 4 (Highest)
the country,1670000000,Bin 4 (Highest)
Ma,1670000000,Bin 4 (Highest)
the case,1670000000,Bin 4 (Highest)
Spain,1650000000,Bin 4 (Highest)
justice,1640000000,Bin 4 (Highest)
Smith,1620000000,Bin 4 (Highest)
Chicago,1610000000,Bin 4 (Highest)
concerns,1590000000,Bin 4 (Highest)
England,1580000000,Bin 4 (Highest)
zone,1580000000,Bin 4 (Highest)
the state,1570000000,Bin 4 (Highest)
prices,1540000000,Bin 4 (Highest)
Orders,1540000000,Bin 4 (Highest)
Monday,1530000000,Bin 4 (Highest)
